Purchase Date,Purchase Year,Title,Author,Amazon Purchase Number (2010=1),,,,,,,
,2010,Sylvia's Lovers (Oxford World's Classics),"Elizabeth Gaskell, Andrew Sanders",1,fiction,,,,,,
,2010,Built of Earth and Song: Churches of Northern New Mexico,"Marie Romero Cash, Jack Parsons",2,travel,,,,,,
,2010,Koolaids: The Art of War,Rabih Alameddine,3,fiction,,,,,,
,2010,The Hakawati,Rabih Alameddine,4,fiction,,,,,,
,2010,The Vanishing Face of Gaia: A Final Warning,James Lovelock,5,academic,climate,,,,,
,2010,Zither & Autobiography (Wesleyan Poetry Series),Leslie Scalapino,6,poetry,,,,,,
,2010,Mockingbird,Walter Tevis,7,science fiction,,,,,,
,2010,Sula,Toni Morrison,8,fiction,,,,,,
,2010,Ghostwritten,David Mitchell,9,fiction,,,,,,
,2010,Cultural Studies in the English Classroom,"James A. Berlin, Michael J. Vivion",10,academic,rhetoric,,,,,
,2010,Writing New York: A Literary Anthology,Phillip Lopate,11,teaching,,,,,,
,2010,Demotic Greek I (Pt. 1),"Peter Bien, et al",12,teaching,greek,,,,,
,2010,The End of the Story: A Novel,Lydia Davis,13,fiction,,,,,,
,2010,Girl With Curious Hair,David Foster Wallace,14,fiction,,,,,,
,2010,Everything and More: A Compact History of Infinity (Great Discoveries),David Foster Wallace,15,fiction,,,,,,
,2010,Oblivion: Stories,David Foster Wallace,16,fiction,,,,,,
,2010,Language Issues: Readings for Teachers,Diane Bennett Durkin,17,teaching,,,,,,
,2010,The Street: A Novel,Ann Petry,18,fiction,,,,,,
,2010,A Handful of Dust,Evelyn Waugh,19,fiction,,,,,,
,2010,Background Readings for Teachers of American Literature,Venetria K. Patton,20,teaching,,,,,,
,2010,The Soros Lectures: At the Central European University,George Soros,21,essays,economics,,,,,
,2010,Pitch Dark,Renata Adler,22,fiction,,,,,,
,2010,Amusing Ourselves to Death: Public Discourse in the Age of Show Business,"Neil Postman, Andrew Postman",23,academic,technology,media,,,,
,2010,Speedboat,Renata Adler,24,fiction,,,,,,
,2010,Technopoly: The Surrender of Culture to Technology,Neil Postman,25,academic,technology,media,,,,
,2010,The Stream of Life (Emergent Literature),"Clarice Lispector, et al",26,fiction,,,,,,
,2010,Language in the USA,"Charles A. Ferguson, Shirley Brice Heath",27,academic,linguistics,,,,,
,2010,Cloud Atlas: A Novel,David Mitchell,28,fiction,,,,,,
,2010,That Awful Mess on the Via Merulana (New York Review Books Classics),"Carlo Emilio Gadda, et al",29,fiction,,,,,,
,2010,The Eye's Mind: Bridget Riley: Collected Writings 1965-2009,"Bridget Riley, Robert Kudielka",30,art,,,,,,
,2010,The Science of Illusions,"Jacques Ninio, Franklin Philip",31,academic,science,perception,psychology,,,
